@RELATION lol_match_simple

@ATTRIBUTE match_creation NUMERIC
@ATTRIBUTE top_summoner_id NUMERIC
@ATTRIBUTE top_summoner_champion {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE jungle_summoner_id NUMERIC
@ATTRIBUTE jungle_summoner_champion {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE mid_summoner_id NUMERIC
@ATTRIBUTE mid_summoner_champion {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE adc_summoner_id NUMERIC
@ATTRIBUTE adc_summoner_champion {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE support_summoner_id NUMERIC
@ATTRIBUTE support_summoner_champion {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE victory {WIN,LOSS}

@DATA
1434473922389,25256029,245,31410380,238,57591281,32,43200314,74,51426597,110,WIN
1434473922389,59156193,57,32189758,99,45770461,2,65362322,222,63649049,7,LOSS
1434476183607,48477690,62,19559815,61,59156193,64,35123669,81,38383207,43,WIN
1434476183607,45770461,2,28589609,74,50599568,79,63649049,53,65362322,222,LOSS
1434479349006,26255626,245,22756059,7,19439767,254,40698030,67,45770461,1,WIN
1434479349006,37120577,126,40524697,105,35718911,77,35950115,236,34010200,412,LOSS
1434494329635,63535323,23,20401125,4,29690633,64,31852772,81,45770461,1,WIN
1434494329635,34122299,13,24472817,41,39587893,20,22615413,22,35654504,98,LOSS
1434987906597,37180733,120,42961442,1,32193413,5,45636386,15,34220527,201,WIN
1434987906597,39379704,27,19002151,96,45639436,106,45770461,37,24356382,22,LOSS
1434990392865,537118,80,23553674,96,43258937,421,50185869,18,35603456,53,WIN
1434990392865,67244146,13,45770461,1,518715,412,46992599,111,45293073,119,LOSS
1435011049213,31779779,24,51485108,112,20568781,56,44674839,154,24288425,81,WIN
1435011049213,46343692,105,45770461,25,39805831,102,28705555,133,48103636,201,LOSS
1435079740757,38040015,41,30633054,268,24162594,113,20267048,432,35345989,429,WIN
1435079740757,19521284,8,53094467,157,20824947,54,30061184,15,45770461,1,LOSS
1435082708893,37482210,102,44664260,76,39129315,254,40960382,37,45241933,222,WIN
1435082708893,45004643,120,45770461,1,23913359,5,24733842,22,43269731,89,LOSS
1435086031448,30853909,106,44735494,112,23615253,254,42084769,412,21000676,110,WIN
1435086031448,52336181,41,36601496,115,49681234,11,40034506,222,45770461,1,LOSS
1435097812473,19899906,102,39510935,110,34796424,11,50717051,222,51012219,111,WIN
1435097812473,39360093,105,21336137,4,34964565,51,66379403,113,45770461,37,LOSS
1435100720463,45770461,2,58263275,105,24678783,421,48634972,222,51849797,143,WIN
1435100720463,22547215,85,28330315,91,36734846,32,27902753,51,19530162,412,LOSS
1435161858698,51023360,105,41974222,61,35450951,154,44146174,22,49220308,412,WIN
1435161858698,25816200,62,43992475,268,19938293,98,45770461,1,26277246,133,LOSS
1435164826648,37122621,27,48673044,1,45770461,2,24402143,222,47086811,40,WIN
1435164826648,31220356,114,56420284,99,39649561,59,29636083,25,29280154,81,LOSS
1435181057639,43633689,98,60146611,1,56018508,59,36533401,67,45770461,412,WIN
1435181057639,23245696,8,45799017,105,39148049,35,44635325,25,38917627,222,LOSS
1434123754499,34712614,92,20026994,131,67319504,32,243822,37,52782622,429,WIN
1434123754499,38917627,245,51482324,55,38713768,421,65750673,111,45467655,81,LOSS
1434208097936,38917627,74,44267604,80,31675134,28,64934385,43,29161764,119,WIN
1434208097936,49324609,150,40737723,105,26513570,113,35700132,67,23539502,412,LOSS
1434211372577,32250671,68,38917627,238,21126038,106,30729907,412,43032280,236,WIN
1434211372577,61234401,14,51134435,131,39999711,5,30137590,222,37102593,37,LOSS
1434230601198,51626850,268,19011388,82,19168987,32,23666006,67,49019403,89,WIN
1434230601198,47521093,245,42229487,254,38917627,122,59262901,53,20194600,133,LOSS
