@RELATION lol

@ATTRIBUTE match_id STRING
@ATTRIBUTE summoner_id STRING
@ATTRIBUTE champion_id STRING
@ATTRIBUTE tier {UNRANKED,BRONZE,SILVER,GOLD,PLATINUM,DIAMOND,MASTER}
@ATTRIBUTE lane {TOP,JUNGLE,MIDDLE,BOTTOM}
@ATTRIBUTE role {NONE,SOLO,DUO,DUO_CARRY,DUO_SUPPORT}
@ATTRIBUTE kills NUMERIC
@ATTRIBUTE deaths NUMERIC
@ATTRIBUTE assists NUMERIC
@ATTRIBUTE gold_earned NUMERIC
@ATTRIBUTE gold_spent NUMERIC
@ATTRIBUTE dmg NUMERIC
@ATTRIBUTE dmg_champs NUMERIC
@ATTRIBUTE dmg_taken NUMERIC
@ATTRIBUTE dmg_healed NUMERIC
@ATTRIBUTE cc NUMERIC
@ATTRIBUTE wards_placed NUMERIC
@ATTRIBUTE wards_killed NUMERIC
@ATTRIBUTE win {True,False}

@DATA
1858220028,25256029,245,GOLD,TOP,SOLO,7,2,1,12172,11155,161212,19362,17278,2988,435,5,1,True
1858220028,57591281,32,SILVER,JUNGLE,NONE,1,2,12,9595,8900,92268,7494,17820,957,317,4,3,True
1858220028,43200314,74,SILVER,BOTTOM,DUO,1,3,7,8607,7790,72346,9775,9001,660,170,13,1,True
1858220028,51426597,110,SILVER,BOTTOM,DUO,11,1,7,12980,11700,156649,24844,11586,1800,436,6,2,True
1858220028,31410380,238,SILVER,MIDDLE,SOLO,8,4,5,11373,9995,107398,16227,15049,2207,41,12,0,True
1858220028,59156193,57,SILVER,TOP,SOLO,0,7,5,6728,6370,87374,7426,26708,5172,1187,6,0,False
1858220028,45770461,2,SILVER,JUNGLE,NONE,3,2,4,8857,8150,115792,8355,28332,3153,1414,15,2,False
1858220028,32189758,99,BRONZE,MIDDLE,SOLO,7,9,3,8521,8430,72822,10259,16664,1247,531,9,0,False
1858220028,65362322,222,UNRANKED,BOTTOM,DUO_CARRY,1,3,3,7028,7575,93874,5620,11878,483,1286,2,1,False
1858220028,63649049,7,UNRANKED,BOTTOM,DUO_SUPPORT,1,7,6,5435,4900,18105,8332,15071,265,1418,13,3,False
1858225169,28589609,74,GOLD,MIDDLE,SOLO,3,7,12,12912,11865,185955,34646,24171,2641,278,12,3,False
1858225169,45770461,2,SILVER,TOP,SOLO,10,5,6,13315,13210,143828,25518,41556,6567,609,18,0,False
1858225169,63649049,53,UNRANKED,BOTTOM,DUO_SUPPORT,3,8,11,10159,10070,39772,11413,34647,6964,884,36,5,False
1858225169,50599568,79,SILVER,JUNGLE,NONE,3,5,12,12428,12285,186553,16281,62581,16010,1294,4,9,False
1858225169,65362322,222,UNRANKED,BOTTOM,DUO_CARRY,3,7,6,11714,11850,170035,12407,17844,519,137,5,2,False
1858225169,48477690,62,SILVER,TOP,SOLO,9,7,6,13707,12130,181134,32815,35981,2519,4503,7,2,True
1858225169,59156193,64,SILVER,JUNGLE,NONE,3,4,7,12715,12160,189511,11629,33421,1963,4300,24,8,True
1858225169,35123669,81,BRONZE,BOTTOM,DUO_CARRY,5,1,13,13914,12513,171228,28646,18919,2292,530,1,2,True
1858225169,19559815,61,SILVER,MIDDLE,SOLO,15,3,7,19169,17595,342713,66733,22710,4940,5417,19,1,True
1858225169,38383207,43,PLATINUM,BOTTOM,DUO_SUPPORT,0,7,11,9554,8670,44235,16810,19264,320,1604,29,3,True
1858263499,37120577,126,SILVER,TOP,SOLO,7,10,2,11861,11330,138099,17441,26979,0,339,7,0,False
1858263499,35950115,236,SILVER,BOTTOM,DUO_CARRY,1,4,3,9884,9275,153702,13274,14718,1046,195,12,1,False
1858263499,35718911,77,GOLD,JUNGLE,NONE,5,7,3,11114,11083,155705,11381,29653,120,241,8,0,False
1858263499,40524697,105,BRONZE,MIDDLE,SOLO,2,8,5,8001,7860,66329,14399,19934,825,403,7,1,False
1858263499,34010200,412,GOLD,BOTTOM,DUO_SUPPORT,1,4,4,6309,6110,15525,6847,15536,824,137,22,3,False
1858263499,40698030,67,SILVER,BOTTOM,DUO_CARRY,6,5,3,10513,8325,101950,16421,20043,2164,40,5,1,True
1858263499,22756059,7,GOLD,MIDDLE,SOLO,9,3,8,11586,11170,118960,21540,13493,469,76,10,0,True
1858263499,26255626,245,GOLD,TOP,SOLO,10,5,11,11789,11785,108463,26857,22922,4957,500,8,0,True
1858263499,45770461,1,SILVER,BOTTOM,DUO_SUPPORT,3,1,10,8628,7450,29738,11607,6680,180,82,29,3,True
1858263499,19439767,254,SILVER,JUNGLE,NONE,5,2,9,10888,10395,134397,10327,21923,1531,691,14,3,True
1858460878,31852772,81,GOLD,BOTTOM,DUO_CARRY,13,5,11,17065,15473,242684,46360,25331,3866,173,9,0,True
1858460878,29690633,64,GOLD,JUNGLE,NONE,8,9,18,14284,13100,107757,15020,39646,5804,688,21,6,True
1858460878,20401125,4,GOLD,MIDDLE,SOLO,8,4,15,16999,14360,266404,41294,21381,3531,487,4,0,True
1858460878,45770461,1,SILVER,BOTTOM,DUO_SUPPORT,3,3,17,11923,10600,53113,20663,20178,2842,213,48,4,True
1858460878,63535323,23,UNRANKED,TOP,SOLO,4,9,7,15525,13890,258716,17347,42425,9700,101,6,0,True
1858460878,39587893,20,SILVER,JUNGLE,NONE,3,7,14,14103,12775,197199,14084,60090,18496,2868,14,4,False
1858460878,34122299,13,SILVER,TOP,SOLO,11,6,2,14284,14180,178991,32704,31642,954,860,10,0,False
1858460878,22615413,22,GOLD,BOTTOM,DUO,9,9,5,12535,11575,132059,24179,21746,2510,1446,6,2,False
1858460878,24472817,41,GOLD,MIDDLE,SOLO,4,5,14,14958,13620,219608,30451,30169,7806,3112,10,1,False
1858460878,35654504,98,GOLD,BOTTOM,DUO,3,9,18,12404,12600,85923,10601,35036,3922,62,15,4,False
1863886583,19002151,96,GOLD,MIDDLE,SOLO,4,10,3,9667,8170,137011,21536,17352,0,1219,6,4,False
1863886583,45770461,37,SILVER,BOTTOM,DUO_SUPPORT,1,6,5,6481,5705,10673,5593,12741,6886,23,30,4,False
1863886583,45639436,106,SILVER,JUNGLE,NONE,3,5,2,7451,7050,87106,6126,24158,1818,1227,10,4,False
1863886583,39379704,27,SILVER,TOP,SOLO,1,4,4,8775,8535,132503,15992,29532,2356,349,12,0,False
1863886583,24356382,22,GOLD,BOTTOM,DUO_CARRY,1,6,4,8494,8145,85249,16591,15110,1646,1271,3,1,False
