@RELATION lol_match_simple

@ATTRIBUTE match_id NUMERIC
@ATTRIBUTE match_timestamp NUMERIC
@ATTRIBUTE winner_top_summoner_id NUMERIC
@ATTRIBUTE winner_top_summoner_champion_id {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE winner_jungle_summoner_id NUMERIC
@ATTRIBUTE winner_jungle_summoner_champion_id {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE winner_mid_summoner_id NUMERIC
@ATTRIBUTE winner_mid_summoner_champion_id {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE winner_adc_summoner_id NUMERIC
@ATTRIBUTE winner_adc_summoner_champion_id {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE winner_support_summoner_id NUMERIC
@ATTRIBUTE winner_support_summoner_champion_id {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE loser_top_summoner_id NUMERIC
@ATTRIBUTE loser_top_summoner_champion_id {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE loser_jungle_summoner_id NUMERIC
@ATTRIBUTE loser_jungle_summoner_champion_id {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE loser_mid_summoner_id NUMERIC
@ATTRIBUTE loser_mid_summoner_champion_id {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE loser_adc_summoner_id NUMERIC
@ATTRIBUTE loser_adc_summoner_champion_id {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}
@ATTRIBUTE loser_support_summoner_id NUMERIC
@ATTRIBUTE loser_support_summoner_champion_id {62,24,35,19,76,143,63,33,42,201,34,23,21,53,83,101,15,92,61,41,54,78,30,126,20,48,113,104,25,150,99,102,58,114,222,429,105,38,37,39,112,69,57,412,10,120,121,2,115,134,36,43,1,84,89,157,85,107,13,98,154,80,50,432,14,67,75,4,31,77,236,106,51,122,56,26,268,68,72,17,6,32,3,74,22,161,27,110,29,86,131,11,60,12,55,245,82,96,266,119,9,91,5,64,44,90,127,18,421,8,59,267,16,45,40,111,28,79,238,254,117,103,133,7,81}

@DATA
1858225169,1434476183607,48477690,62,59156193,64,19559815,61,35123669,81,38383207,43,45770461,2,50599568,79,28589609,74,63649049,53,65362322,222
1858263499,1434479349006,26255626,245,19439767,254,22756059,7,40698030,67,45770461,1,37120577,126,35718911,77,40524697,105,35950115,236,34010200,412
1858460878,1434494329635,63535323,23,29690633,64,20401125,4,31852772,81,45770461,1,34122299,13,39587893,20,24472817,41,22615413,22,35654504,98
1863886583,1434987906597,37180733,120,32193413,5,42961442,1,45636386,15,34220527,201,39379704,27,45639436,106,19002151,96,45770461,37,24356382,22
1863909462,1434990392865,537118,80,43258937,421,23553674,96,50185869,18,35603456,53,67244146,13,518715,412,46992599,111,45770461,1,45293073,119
1864137141,1435011049213,31779779,24,20568781,56,51485108,112,44674839,154,24288425,81,46343692,105,39805831,102,45770461,25,28705555,133,48103636,201
1864820112,1435079740757,38040015,41,24162594,113,30633054,268,20267048,432,35345989,429,19521284,8,20824947,54,53094467,157,30061184,15,45770461,1
1864865403,1435082708893,37482210,102,39129315,254,44664260,76,40960382,37,45241933,222,45004643,120,23913359,5,45770461,1,24733842,22,43269731,89
1864925671,1435086031448,30853909,106,23615253,254,44735494,112,42084769,412,21000676,110,52336181,41,49681234,11,36601496,115,40034506,222,45770461,1
1865124166,1435097812473,19899906,102,34796424,11,39510935,110,50717051,222,51012219,111,39360093,105,21336137,4,34964565,51,66379403,113,45770461,37
1865177817,1435100720463,45770461,2,24678783,421,58263275,105,48634972,222,51849797,143,22547215,85,36734846,32,28330315,91,27902753,51,19530162,412
1866079777,1435161858698,51023360,105,35450951,154,41974222,61,44146174,22,49220308,412,25816200,62,19938293,98,43992475,268,45770461,1,26277246,133
1866085727,1435164826648,37122621,27,45770461,2,48673044,1,24402143,222,47086811,40,31220356,114,39649561,59,56420284,99,29636083,25,29280154,81
1866223347,1435181057639,43633689,98,56018508,59,60146611,1,36533401,67,45770461,412,23245696,8,39148049,35,45799017,105,44635325,25,38917627,222
1867975589,1435348761296,43217248,106,22696922,154,39260029,55,35349226,412,40982084,222,30733854,27,19034494,421,40622321,63,45770461,37,25871711,51
1864362855,1435028332354,38762485,107,19034494,59,21879086,81,35677408,412,34932607,236,57281797,64,39260131,72,32013558,25,34283901,40,53549896,67
1864424736,1435031822425,50995069,102,47401159,80,47319166,157,25204752,161,51910107,81,19034494,59,26161994,121,25045607,101,34932607,412,31125009,18
1864470042,1435034553535,36080199,85,20299204,79,19034494,59,47212486,429,49321293,143,45115424,92,31797649,254,31724480,90,24052916,51,51705470,432
1864496750,1435037007871,45200235,80,64905554,107,24052916,245,19101886,412,31133614,22,50743415,23,56854205,254,30019392,3,19034494,59,30439961,15
1864527187,1435039663983,19034494,107,47040801,19,21540461,99,30070063,222,30040077,1,41070524,13,39070745,111,32734345,76,31976009,22,26133797,37
1864545813,1435042297058,19034494,59,34331548,72,21540461,99,24157343,267,24774792,67,25319698,5,45046680,76,51139149,103,50844137,15,24192687,89
1864564086,1435045017571,28413259,14,29831780,113,21540461,99,34331548,44,19034494,15,47091952,68,39292190,59,43620603,1,30691018,104,37184686,412
1864568997,1435047234579,24632881,102,19368245,57,55421802,268,32680006,89,34882839,51,21540461,85,36783587,120,19034494,59,21185980,37,67229941,67
1864604874,1435051073216,21540461,86,19034494,113,34821603,63,39958201,432,20315099,96,48441542,36,46383554,121,48299099,112,48441407,119,41313958,12
1865306346,1435106638420,48645150,75,67022282,5,22888010,268,21013829,12,23399488,104,23508921,8,43899784,79,19034494,59,21203117,22,24814273,117
1865338324,1435109206379,20610674,10,22262800,64,37795284,39,31935533,15,54863363,53,19034494,59,26145205,23,36999438,101,59661337,429,44721935,16
1866106603,1435168808765,39774199,150,23007715,79,40925178,157,39257512,12,50062963,119,41725886,92,57537906,154,19034494,59,20825027,412,23240085,22
1866400516,1435196012802,51952404,75,24349159,106,66060469,76,26300151,21,53159086,16,51785051,102,19034494,59,38670847,161,43412268,22,20825027,412
1866813427,1435250294526,43943899,5,19034494,102,51558368,99,40708383,222,28940493,412,33321290,64,47279127,107,37052700,81,50947731,119,46562643,89
1866829677,1435253000567,23973331,23,19034494,102,49043477,143,46562643,89,22724174,222,23500032,80,29643163,106,51396261,112,43978347,51,51765931,53
1819019661,1431217424033,47649882,92,35195221,254,39500756,90,23396686,89,39631685,119,19444765,157,50461089,72,51396261,31,31311260,21,62397996,1
1819371082,1431238995856,54429356,31,44372643,19,37818128,55,32552959,412,33719158,236,51396261,68,36332109,5,48468070,61,51821381,81,21785340,89
1819389446,1431241399485,41241574,122,42890494,106,44499788,1,57432862,104,37476760,412,31066505,131,34208607,72,41320986,74,51821381,81,51396261,53
1821099497,1431393116353,21430235,75,34130405,102,61104325,45,39992133,25,26459943,133,20834235,106,51821381,79,51396261,91,27329230,81,23490529,1
1822911670,1431554907491,32222214,39,45575290,31,38704327,34,51765931,119,51396261,53,27709874,58,47710226,19,19445681,92,30635251,412,22560387,222
1822943027,1431557710376,302355,75,51396261,106,51765931,69,32507827,222,22594820,412,39141716,5,45495903,62,43002579,161,47321403,40,39339113,67
1823014219,1431562157569,51396261,150,51765931,64,20460493,161,20914089,222,49639372,89,39906751,14,31929498,79,47044497,61,30118122,412,36387281,104
1823084544,1431566812070,43941192,106,22870679,57,30540969,74,19610266,81,34824230,99,51650184,36,51396261,19,50193499,69,34530802,236,51821381,89
1829369929,1432083022309,30133022,17,199609,254,24701437,103,24369200,222,35151395,89,51396261,150,306701,57,51765931,8,23634779,1,19286787,15
1844108775,1433281679478,52859327,92,28740096,106,31370252,74,32729913,67,44793439,12,30273439,114,23655632,19,51396261,7,20917469,412,51765931,119
1844220929,1433283483122,28800781,2,21539724,245,41691185,121,44369509,222,40009520,12,40984172,150,29189216,102,51765931,69,41917411,412,51396261,236
1847203318,1433542629377,31797582,54,52021555,62,23164386,90,31766138,81,32311768,43,34804603,117,51396261,254,52409870,105,51155089,104,23997050,25
1854830909,1434168511366,50908860,54,29574462,24,40668393,115,36633801,110,32530507,53,51396261,120,39928326,20,53778366,8,51155089,429,51507539,89
