@RELATION lol_synergy

@ATTRIBUTE champion1 {MonkeyKing,Jax,Shaco,Warwick,Nidalee,Zyra,Brand,Rammus,Corki,Braum,Anivia,Tryndamere,MissFortune,Blitzcrank,Yorick,Xerath,Sivir,Riven,Orianna,Gangplank,Malphite,Poppy,Karthus,Jayce,Nunu,Trundle,Sejuani,Graves,Morgana,Gnar,Lux,Shyvana,Renekton,Fiora,Jinx,Kalista,Fizz,Kassadin,Sona,Irelia,Viktor,Cassiopeia,Maokai,Thresh,Kayle,Hecarim,Khazix,Olaf,Ziggs,Syndra,DrMundo,Karma,Annie,Akali,Leona,Yasuo,Kennen,Rengar,Ryze,Shen,Zac,Pantheon,Swain,Bard,Sion,Vayne,Nasus,TwistedFate,Chogath,Udyr,Lucian,Volibear,Caitlyn,Darius,Nocturne,Zilean,Azir,Rumble,Skarner,Teemo,Urgot,Amumu,Galio,Heimerdinger,Ashe,Velkoz,Singed,Varus,Twitch,Garen,Diana,MasterYi,Elise,Alistar,Katarina,Ekko,Mordekaiser,KogMaw,Aatrox,Draven,FiddleSticks,Talon,XinZhao,LeeSin,Taric,Malzahar,Lissandra,Tristana,RekSai,Vladimir,JarvanIV,Nami,Soraka,Veigar,Janna,Nautilus,Evelynn,Gragas,Zed,Vi,Lulu,Ahri,Quinn,Leblanc,Ezreal}
@ATTRIBUTE champion2 {MonkeyKing,Jax,Shaco,Warwick,Nidalee,Zyra,Brand,Rammus,Corki,Braum,Anivia,Tryndamere,MissFortune,Blitzcrank,Yorick,Xerath,Sivir,Riven,Orianna,Gangplank,Malphite,Poppy,Karthus,Jayce,Nunu,Trundle,Sejuani,Graves,Morgana,Gnar,Lux,Shyvana,Renekton,Fiora,Jinx,Kalista,Fizz,Kassadin,Sona,Irelia,Viktor,Cassiopeia,Maokai,Thresh,Kayle,Hecarim,Khazix,Olaf,Ziggs,Syndra,DrMundo,Karma,Annie,Akali,Leona,Yasuo,Kennen,Rengar,Ryze,Shen,Zac,Pantheon,Swain,Bard,Sion,Vayne,Nasus,TwistedFate,Chogath,Udyr,Lucian,Volibear,Caitlyn,Darius,Nocturne,Zilean,Azir,Rumble,Skarner,Teemo,Urgot,Amumu,Galio,Heimerdinger,Ashe,Velkoz,Singed,Varus,Twitch,Garen,Diana,MasterYi,Elise,Alistar,Katarina,Ekko,Mordekaiser,KogMaw,Aatrox,Draven,FiddleSticks,Talon,XinZhao,LeeSin,Taric,Malzahar,Lissandra,Tristana,RekSai,Vladimir,JarvanIV,Nami,Soraka,Veigar,Janna,Nautilus,Evelynn,Gragas,Zed,Vi,Lulu,Ahri,Quinn,Leblanc,Ezreal}
@ATTRIBUTE victory {WIN,LOSS}

@DATA
MonkeyKing,LeeSin,WIN
MonkeyKing,Orianna,WIN
MonkeyKing,Ezreal,WIN
MonkeyKing,Karma,WIN
LeeSin,MonkeyKing,WIN
LeeSin,Orianna,WIN
LeeSin,Ezreal,WIN
LeeSin,Karma,WIN
Orianna,MonkeyKing,WIN
Orianna,LeeSin,WIN
Orianna,Ezreal,WIN
Orianna,Karma,WIN
Ezreal,MonkeyKing,WIN
Ezreal,LeeSin,WIN
Ezreal,Orianna,WIN
Ezreal,Karma,WIN
Karma,MonkeyKing,WIN
Karma,LeeSin,WIN
Karma,Orianna,WIN
Karma,Ezreal,WIN
Olaf,Gragas,LOSS
Olaf,Heimerdinger,LOSS
Olaf,Jinx,LOSS
Olaf,Blitzcrank,LOSS
Gragas,Olaf,LOSS
Gragas,Heimerdinger,LOSS
Gragas,Jinx,LOSS
Gragas,Blitzcrank,LOSS
Heimerdinger,Olaf,LOSS
Heimerdinger,Gragas,LOSS
Heimerdinger,Jinx,LOSS
Heimerdinger,Blitzcrank,LOSS
Jinx,Olaf,LOSS
Jinx,Gragas,LOSS
Jinx,Heimerdinger,LOSS
Jinx,Blitzcrank,LOSS
Blitzcrank,Olaf,LOSS
Blitzcrank,Gragas,LOSS
Blitzcrank,Heimerdinger,LOSS
Blitzcrank,Jinx,LOSS
Ekko,Vi,WIN
Ekko,Leblanc,WIN
Ekko,Vayne,WIN
Ekko,Annie,WIN
Vi,Ekko,WIN
Vi,Leblanc,WIN
Vi,Vayne,WIN
Vi,Annie,WIN
Leblanc,Ekko,WIN
Leblanc,Vi,WIN
Leblanc,Vayne,WIN
Leblanc,Annie,WIN
Vayne,Ekko,WIN
Vayne,Vi,WIN
Vayne,Leblanc,WIN
Vayne,Annie,WIN
Annie,Ekko,WIN
Annie,Vi,WIN
Annie,Leblanc,WIN
Annie,Vayne,WIN
Jayce,Udyr,LOSS
Jayce,Fizz,LOSS
Jayce,Lucian,LOSS
Jayce,Thresh,LOSS
Udyr,Jayce,LOSS
Udyr,Fizz,LOSS
Udyr,Lucian,LOSS
Udyr,Thresh,LOSS
Fizz,Jayce,LOSS
Fizz,Udyr,LOSS
Fizz,Lucian,LOSS
Fizz,Thresh,LOSS
Lucian,Jayce,LOSS
Lucian,Udyr,LOSS
Lucian,Fizz,LOSS
Lucian,Thresh,LOSS
Thresh,Jayce,LOSS
Thresh,Udyr,LOSS
Thresh,Fizz,LOSS
Thresh,Lucian,LOSS
Tryndamere,LeeSin,WIN
Tryndamere,TwistedFate,WIN
Tryndamere,Ezreal,WIN
Tryndamere,Annie,WIN
LeeSin,Tryndamere,WIN
LeeSin,TwistedFate,WIN
LeeSin,Ezreal,WIN
LeeSin,Annie,WIN
TwistedFate,Tryndamere,WIN
TwistedFate,LeeSin,WIN
TwistedFate,Ezreal,WIN
TwistedFate,Annie,WIN
Ezreal,Tryndamere,WIN
Ezreal,LeeSin,WIN
Ezreal,TwistedFate,WIN
Ezreal,Annie,WIN
Annie,Tryndamere,WIN
Annie,LeeSin,WIN
Annie,TwistedFate,WIN
Annie,Ezreal,WIN
Ryze,Nunu,LOSS
Ryze,Gangplank,LOSS
Ryze,Ashe,LOSS
Ryze,Shen,LOSS
Nunu,Ryze,LOSS
Nunu,Gangplank,LOSS
Nunu,Ashe,LOSS
Nunu,Shen,LOSS
Gangplank,Ryze,LOSS
Gangplank,Nunu,LOSS
Gangplank,Ashe,LOSS
Gangplank,Shen,LOSS
Ashe,Ryze,LOSS
Ashe,Nunu,LOSS
Ashe,Gangplank,LOSS
Ashe,Shen,LOSS
Shen,Ryze,LOSS
Shen,Nunu,LOSS
Shen,Gangplank,LOSS
Shen,Ashe,LOSS
Hecarim,XinZhao,WIN
Hecarim,Annie,WIN
Hecarim,Sivir,WIN
Hecarim,Braum,WIN
XinZhao,Hecarim,WIN
XinZhao,Annie,WIN
XinZhao,Sivir,WIN
XinZhao,Braum,WIN
Annie,Hecarim,WIN
Annie,XinZhao,WIN
Annie,Sivir,WIN
Annie,Braum,WIN
Sivir,Hecarim,WIN
Sivir,XinZhao,WIN
Sivir,Annie,WIN
Sivir,Braum,WIN
Braum,Hecarim,WIN
Braum,XinZhao,WIN
Braum,Annie,WIN
Braum,Sivir,WIN
Singed,Volibear,LOSS
Singed,KogMaw,LOSS
Singed,Ashe,LOSS
Singed,Sona,LOSS
Volibear,Singed,LOSS
Volibear,KogMaw,LOSS
Volibear,Ashe,LOSS
Volibear,Sona,LOSS
KogMaw,Singed,LOSS
KogMaw,Volibear,LOSS
KogMaw,Ashe,LOSS
KogMaw,Sona,LOSS
Ashe,Singed,LOSS
Ashe,Volibear,LOSS
